price,area,flat_toilets,balcony,current_floors,total_floors,ceiling,dorm,mortgage,year,type_of_house,repair_status,distance_to_center
27000000.0,87.0,раздельный,нет,6.0,9.0,2.7,нет,нет,2017,кирпичный,частично,3.527
11000000.0,53.0,совмещенный,нет,4.0,4.0,2.7,нет,нет,1963,кирпичный,частично,2.284
30532500.0,104.0,раздельный,несколько балконов или лоджий,5.0,9.0,2.7,нет,нет,2025,кирпичный,частично,2.003
27000000.0,105.0,совмещенный,нет,3.0,5.0,2.8,нет,нет,2000,кирпичный,частично,0.815
5500000.0,18.0,раздельный,нет,3.0,9.0,2.5,да,нет,1986,кирпичный,полностью,1.309
9500000.0,29.9,совмещенный,нет,3.0,4.0,2.7,нет,нет,1965,кирпичный,частично,2.714
6500000.0,34.4,2 с/у и более,нет,2.0,4.0,2.5,да,нет,1967,кирпичный,полностью,2.232
2200000.0,9.9,раздельный,нет,4.0,4.0,2.7,нет,нет,1963,кирпичный,частично,2.105
54000000.0,110.0,раздельный,нет,2.0,6.0,2.7,нет,нет,2023,кирпичный,полностью,1.651
32000000.0,100.6,раздельный,нет,5.0,5.0,2.8,нет,нет,2008,кирпичный,полностью,3.527
21700000.0,71.0,раздельный,несколько балконов или лоджий,1.0,9.0,2.7,нет,нет,2025,кирпичный,частично,2.003
27900000.0,66.6,совмещенный,нет,3.0,5.0,2.7,нет,нет,2021,кирпичный,частично,1.851
28000000.0,60.2,раздельный,нет,2.0,6.0,2.5,нет,нет,1993,кирпичный,полностью,1.931
32000000.0,78.0,2 с/у и более,нет,1.0,9.0,3.0,нет,В залоге,2022,кирпичный,частично,3.858
17000000.0,53.8,раздельный,нет,3.0,5.0,2.5,нет,нет,1987,кирпичный,частично,2.75
24500000.0,65.5,раздельный,балкон,2.0,9.0,2.5,нет,нет,1990,панельный,частично,3.491
11200000.0,40.0,раздельный,нет,5.0,5.0,2.7,нет,нет,2024,кирпичный,частично,1.73
13000000.0,43.9,совмещенный,нет,5.0,5.0,2.8,нет,нет,2023,кирпичный,частично,0.53
100000000.0,141.0,раздельный,нет,2.0,9.0,2.7,нет,нет,2021,кирпичный,частично,0.462
14500000.0,41.0,раздельный,нет,5.0,5.0,2.7,нет,нет,2018,кирпичный,частично,1.73
83000000.0,155.0,2 с/у и более,несколько балконов или лоджий,4.0,9.0,3.0,нет,нет,2021,кирпичный,полностью,1.588
47000000.0,140.0,раздельный,нет,4.0,5.0,2.7,нет,нет,2011,кирпичный,частично,0.306
30000000.0,107.0,раздельный,нет,5.0,5.0,2.7,нет,нет,2015,кирпичный,частично,1.349
19000000.0,46.0,совмещенный,нет,9.0,9.0,2.7,нет,нет,2020,кирпичный,полностью,1.727
19500000.0,69.0,раздельный,нет,3.0,9.0,2.7,нет,нет,1991,панельный,частично,3.298
14500000.0,51.0,раздельный,нет,5.0,5.0,2.7,нет,нет,2022,кирпичный,частично,1.64
26000000.0,87.0,раздельный,нет,6.0,9.0,2.7,нет,нет,1993,панельный,частично,2.408
18000000.0,70.0,раздельный,нет,8.0,9.0,2.7,нет,нет,1985,кирпичный,частично,0.997
34000000.0,69.3,раздельный,балкон и лоджия,3.0,5.0,3.0,нет,нет,2022,кирпичный,полностью,1.142
11000000.0,35.0,раздельный,нет,5.0,9.0,2.7,нет,нет,1983,кирпичный,частично,0.915
